UPDATE9_TITLE	{《No Man's Sky Frontiers》更新}
UI_BUILD_GRID_TIMBER	{原木}
UI_BUILD_GRID_FIBREGLASS	{合金}
UI_BUILD_GRID_FLOORS	{地板和楼梯}
UI_BUILD_GRID_WALLS	{墙、门和窗}
UI_BUILD_GRID_ROOFS	{屋顶}
UI_BUILD_GRID_FREIGHTER	{货船建造}
UI_BUILD_GRID_FREIGHTER_TECH	{货船技术}
UI_BUILD_GRID_EXOTICS	{异星装饰}
UI_BUILD_GRID_WALL_ART	{墙壁艺术}
UI_BUILD_GRID_POSTERS	{海报}
UI_BUILD_GRID_FREIGHT_LEGACY	{遗产货船模块}
UI_BUILD_GRID_FREIGHT_LEGACY_S	{遗留建筑}
UI_BUILD_GRID_FREIGHTER_PARTS	{核心货船模块}
UI_BUILD_GRID_FREIGHTER_CORE	{核心货船模块}
UI_BUILD_GRID_FREIGHTER_BIO	{货船农业模块}
UI_BUILD_GRID_FREIGHTER_IND	{货船工业模块}
UI_BUILD_GRID_FREIGHTER_BIOROOM	{农业房间模块}
UI_BUILD_GRID_FREIGHTPORTABLE	{小规模技术}
UI_BUILD_GRID_FREIGHTER_TECHROO	{高科技房间模块}
UI_BUILD_GRID_FREIGHTER_INDROOM	{工业室}
UI_BUILD_GRID_FREIGHTER_PLANTS	{植物}
UI_BUILD_MENU_TOGGLE_SNAP_ON	{已启用自由放置}
UI_BUILD_MENU_TOGGLE_SNAP_OFF	{已启用吸附放置}
UI_BUILD_MENU_TOGGLE_CAM_ON	{建造摄像头已开启}
UI_BUILD_MENU_TOGGLE_CAM_OFF	{建造摄像头已关闭}
UI_BUILD_MENU_TOGGLE_PLACE_ON	{调整模式已开启}
UI_BUILD_MENU_TOGGLE_PLACE_OFF	{调整模式已关闭}
UI_BUILD_MENU_TOGGLE_COL_ON	{上色模式已开启}
UI_BUILD_MENU_TOGGLE_COL_OFF	{上色模式已关闭}
UI_BUILD_MENU_TOGGLE_SELECT_ON	{已启用编辑模式<IMG>SLASH<>变更现有部件}
UI_BUILD_MENU_TOGGLE_SELECT_OFF	{已启用建造模式<IMG>SLASH<>放置新部件}
UI_SETTLEMENT_REPORT_TITLE	{举报定居点}
UI_SETTLEMENT_REPORT_SUB	{举报定居点名称过激}
UI_SETTLEMENT_REPORT_ALREADY	{已举报定居点}
UI_BUILD_TIP_SELECT_PART	{选择部件%INPUT%}
UI_BUILD_TIP_SELECT_PART_LABEL	{选择部件}
UI_BUILD_TIP_SELECT_PART_SUB	{选择部件并开始放置}
UI_BUILD_TIP_NEW_SELECT_MODE	{编辑放置的部件%INPUT%}
UI_BUILD_TIP_NAV_BACK	{关闭菜单%INPUT%}
UI_NO_EDIT_SETTLEMENT	{受定居点限制无法建造}
UI_NO_EDIT_SETTLEMENT_TERRAIN	{受定居点限制无法建造}
UI_BUILD_MENU_SCALE_UNAVAILABLE	{无法改变部件尺寸}
UI_BUILD_MENU_MOVE_UNAVAILABLE	{无拾取对象}
UI_BUILD_MENU_DUPE_UNAVAILABLE	{无复制对象}
UI_BUILD_MENU_DEL_UNAVAILABLE	{无删除对象}
UI_BUILD_MENU_SLCT_UNAVAILABLE	{无法放置<IMG>SLASH<>从电网中选择部件（<IMG>FE_BACK<>）}
UI_BUILD_MENU_MOVE_SUCCESS	{已拾取部件！}
UI_BUILD_MENU_DUPE_SUCCESS	{已复制部件！}
UI_BUILD_MENU_DEL_SUCCESS	{已删除部件！}
UI_BUILD_MENU_TOGGLE_WIRING_ON	{线路模式已开启}
UI_BUILD_MENU_TOGGLE_WIRING_OFF	{线路模式已关闭}
UI_BUILD_MENU_RECOLOUR_NAME	{重新上色}
UI_BUILD_MENU_COLOURS_NAME	{颜色}
UI_BUILD_MENU_MOVE_NAME	{移动}
UI_BUILD_MENU_DUPE_NAME	{复制}
UI_BUILD_MENU_DELETE_NAME	{删除}
UI_BUILD_MENU_CAMERA_NAME	{切换视角}
UI_BUILD_MENU_EDITPLACE_NAME	{切换编辑/建造}
UI_BUILD_MENU_FREEPLACE_NAME	{切换自由放置}
UI_BUILD_MENU_BUILD_NAME	{建造}
UI_BUILD_MENU_BUILD_WIRE_NAME	{放置线路}
UI_BUILD_MENU_SCALE_NAME	{缩放}
UI_BUILD_MENU_ROTATE_NAME	{旋转}
UI_BUILD_MENU_WIRE_NAME	{线路}
UI_BUILD_MENU_CYCLE_NAME	{循环部件}
UI_BUILD_MENU_FREEROTATE_NAME	{切换自由旋转}
UI_BUILD_MENU_WIRE_TOGGLE_NAME	{切换线路}
UI_BUILD_MENU_PIPE_NAME	{导管}
UI_BUILD_MENU_PIPE_TOGGLE_NAME	{切换导管}
INPUT_EXTERNAL_STEAMDECK_GYRO	{带有陀螺仪适配的Steam Deck布局}
INPUT_EXTERNAL_STEAMDECK_GYRO_D	{Hello Games创造的适配Steam Deck的界面布局。包括陀螺仪适配。}
UI_CONTROLS_BUILDING_SELECT	{基地部件编辑}
UI_CONTROLS_BUILDING_PLACE	{基地部件放置}
CTRL_BTN_BUILD_MODE_SELECT	{切换编辑/建造}
CTRL_BTN_BUILD_TOGGLE_VISIONS	{切换部件预览}
CTRL_BTN_BUILD_PAINT	{重着色建筑部件}
CTRL_BTN_BUILD_TOGGLE_SNAPS	{切换自由部件放置}
CTRL_BTN_BUILD_PICKUP	{选择部件}
CTRL_BTN_BUILD_DUPLICATE	{复制部件}
CTRL_BTN_BUILD_DELETE	{删除部件}
CTRL_BTN_BUILD_TOGGLE_WIRING	{切换线路模式}
CTRL_BTN_BUILD_NEXT_PART	{循环显示基地部件}
VEHICLE_BUILDING_OUTPOST	{贸易前哨基站}
UI_NO_MM_CONNECTION_BAN	{无法连接匹配服务}
UI_NO_MM_CONNECTION_BAN_DESC	{此账号存在违反《No Man's Sky》行为准则的行为。已暂停联网功能。
https://www.nomanssky.com/end-user-licence-agreement/}
UI_NO_MM_CONNECTION_SOCKETS	{创建 WebSockets 时发生错误，无法连接至匹配服务。请检查您的防火墙与路由设置。}
UI_OPTIONS_CAMERA_SHAKE_STRENGT	{镜头抖动强度}
UI_BUILD_MENU_ROTATE_NAME_X	{X轴旋转}
UI_BUILD_MENU_ROTATE_NAME_Z	{Z轴旋转}
UI_BUILD_MENU_ROTATE_NAME_Y	{Y轴旋转}
UI_BUILD_MENU_CYCLEROTATE_NAME	{循环轴线}
UI_BUILD_MENU_CYCLEROTATE	{已改变旋转轴线}
UI_BUILD_MENU_CYCLEROTATE_ERR	{无法改变旋转轴线}
CTRL_BTN_BUILD_TOGGLE_ROT_AXIS	{切换自由旋转轴}
CTRL_ANLG_BUILD_ROT_Z2	{Y轴自由旋转}
CTRL_BTN_BUILD_CYCLE_ROTATE	{改变旋转轴线}
BASEBUILD_INVALID_INSIDE_BASE	{无法在现有基地内建造<IMG>SLASH<>}
UI_PRODUCT_HEADER	{生产}
NOTIFY_CRITIAL_HIT_ONFOOT	{套装承受严重伤害<IMG>SLASH<>，请立即躲避}
NOTIFY_CRITIAL_HIT_COMBAT	{套装承受严重伤害}
NOTIFY_SHIELD_DOWN_COMBAT	{护盾失效<IMG>SLASH<>，关键系统缺少防护}
NOTIFY_SHIELD_DOWN_ONFOOT	{护盾失效<IMG>SLASH<>请立即躲避}
PC_GRAPHICS_FFXSR	{FidelityFX超级分辨率1.0}
PC_GRAPHICS_FFXSR_D	{AMD FidelityFX超级分辨率1.0是经过充分优化的顶尖空间分辨率提升技术，能以更高的帧速率呈现极佳的高品质画面。

<STELLAR>超高质量<> - 呈现分辨率提升后的画面，其品质与原生渲染无异。

<STELLAR>高质量<> - 呈现超级分辨率提升后的画面，其品质与原生渲染几乎无异，且能较明显地提升性能。

<STELLAR>均衡<> - 呈现超级分辨率提升后的画面，其品质接近原生渲染，且性能相较原生渲染相比有大幅提升。

<STELLAR>性能<> - 对画面品质产生肉眼可见的影响。仅在迫切需要提升性能时选择此项。

此设置只影响GPU性能。}
UI_SECONDS	{%SECONDS%秒}
UI_LOW_INDEX_GENERIC	{进度过低}
UI_EXPAND_BUTTON	{查看不同版本}
UI_EXPAND_BUTTON_LABEL	{查看并选择此物品的不同视觉版本}
UI_CONTRACT_BUTTON	{隐藏不同版本}
UI_CONTRACT_BUTTON_LABEL	{隐藏其他视觉版本并返回自动建造}
UI_SENTINEL_BLOCKED	{护卫已关闭}
UI_QUICK_MENU_PET_PAGE	{召唤同伴设置}
PC_GRAPHICS_DLAA	{DLAA}
UI_STATUS_MOOD	{状态：%MOOD%}
UI_QUAD_EGG_DESC	{从行星洞穴系统深处出土的远古物件。表面触感冰凉，尽管年代久远，但却光滑得出奇。

这些立方体是金属和岩石的融合体，难以进行工业加工。因此，它们只对收藏家有价值。

可以在<TECHNOLOGY>银河交易终端<>出售。}
SET_STONE_NATURAL_1	{自然粉}
SET_STONE_NATURAL_2	{自然棕}
SET_STONE_NATURAL_3	{灰红}
SET_STONE_NATURAL_4	{粉灰}
SET_STONE_BLUE_1	{蓝红}
SET_STONE_BLUE_2	{青蓝}
SET_STONE_BLUE_3	{蓝灰}
SET_STONE_GREEN_1	{蓝绿}
SET_STONE_GREEN_2	{灰绿}
SET_STONE_GREEN_3	{绿红}
SET_STONE_ROYAL_1	{皇室金}
SET_FIBREGLASS_BASIC_1	{白橙}
SET_FIBREGLASS_BASIC_2	{灰红}
SET_FIBREGLASS_BASIC_3	{橙青}
SET_FIBREGLASS_BASIC_4	{蓝橙}
SET_FIBREGLASS_BASIC_5	{绿灰}
SET_FIBREGLASS_BASIC_6	{黄紫}
SET_FIBREGLASS_BASIC_7	{紫白}
SET_FIBREGLASS_BASIC_8	{红灰}
SET_TIMBER_BASIC_1	{橡木色}
SET_TIMBER_BASIC_2	{松木色}
SET_TIMBER_BASIC_3	{松木色&红木色}
SET_TIMBER_BASIC_4	{红木色}
SET_TIMBER_STAIN_1	{青色&橡木色}
SET_TIMBER_STAIN_2	{灰橡木&红}
SET_TIMBER_STAIN_3	{松木&蓝}
SET_TIMBER_STAIN_4	{松木&紫}
SET_TIMBER_ROYAL_1	{金松木&橡木}
SET_FREIGHTER_0	{白橙}
SET_FREIGHTER_1	{白间蓝绿}
SET_FREIGHTER_2	{白紫}
SET_FREIGHTER_3	{白红}
SET_FREIGHTER_4	{白灰}
SET_FREIGHTER_5	{暗灰间红}
SET_FREIGHTER_6	{灰蓝间蓝}
SET_FREIGHTER_7	{黄绿间绿}
SET_FREIGHTER_8	{红间暗灰}
SET_FREIGHTER_9	{米白间黄}
SET_FREIGHTER_10	{黄间暗灰}
SET_FREIGHTER_11	{浅灰间红}
SET_FREIGHTER_12	{暗灰间浅灰}
SET_FREIGHTER_13	{灰绿}
SET_FREIGHTER_14	{米白间灰}
SET_FREIGHTER_15	{蓝绿间粉}
UI_HOLD	{开启（长按）}
UI_TOGGLE	{开启（开关）}
UI_STANDING_RESET_TRA_MSG	{声望重置：吉克}
UI_STANDING_RESET_EXP_MSG	{声望重置：科尔瓦克斯}
UI_STANDING_RESET_WAR_MSG	{声望重置：维吉恩}
UI_STANDING_RESET_G_TRA_MSG	{声望重置：商人公会}
UI_STANDING_RESET_G_EXP_MSG	{声望重置：探险家公会}
UI_STANDING_RESET_G_WAR_MSG	{声望重置：雇佣兵公会}
UI_SHIELD_DOWN	{护盾停机}
CUSTOMISE_CAPE_L	{自定义披风}
UI_TIP_CAPE_NONE	{无披风}
UI_TIP_CAPE_MAIN	{漂浮披风}
UI_TIP_CAPE_PIRATE	{亡命之徒披风}
CUSTOMISE_HOOD_L	{自定义兜帽}
UI_TIP_HOOD_NONE	{无兜帽}
UI_TIP_HOOD_MAIN	{神秘兜帽}
UI_TIP_HOOD_PIRATE	{自由覆盖物}
UI_SPECIAL_CAPE_SUB	{可解锁披风}
UI_SPECIAL_HOOD_SUB	{可解锁兜帽}
QUICK_MENU_SUM_ERR_SHIP_ABOARD	{飞船已停靠在货船机库}
STATS_SHIP_ATTACK_U	{伤害潜能}
STATS_SHIP_SHIELD_U	{护盾强度}
STATS_SHIP_HYPERDRIVE_U	{超光速推进器范围}
SHIP_MANEUVERABILITY_U	{操控性}
UI_POLICE_TIMER_OSD	{距离拦截机到达还有%TIME%}
UI_POLICE_SCAN_HUD	{星系当局扫描}
UI_POLICE_SCAN_HUD_SUB	{护卫目标锁定中}
UI_POLICE_SCAN_CARGO_SUB	{违禁品排查中}
UI_PENDING_DISCO_ERROR	{正在等待上传，重新连接至发现服务后将完成上传}
UI_SPACE_BRAKE_TIP	{使用<STELLAR>制动器<>（<IMG>BRAKE<>）快速转向
使用<STELLAR>加速<>（<IMG>BOOST<>）规避}
UI_SPACE_FOLLOW_TOGGLE_TIP	{使用<IMG>AUTOFOLLOW<>锁定并追踪你的目标}
UI_SPACE_FOLLOW_HOLD_TIP	{长按<IMG>AUTOFOLLOW<>锁定并追踪你的目标}
UI_SUMMON_SHIP_MENU	{召集货船和战团}
SHIP_FOLLOW_TOGGLE	{战斗自动驾驶（切换）}
SHIP_FOLLOW_HOLD	{战斗自动驾驶（保持）}
UI_DAMAGE_POTENTIAL_SHIELD	{伤害潜能峰值（有护盾）：<STELLAR>%AMOUNT%<>DPS}
UI_UNOWNED_FLEET_HUD	{商业频率}
UI_BOUNTY_NAMED_LABEL	{%NAME%（%AMOUNT%<IMG>货币<>奖励）}
UI_BOUNTY_ENGAGE_OSD	{逃亡飞船进入战斗范围}
UI_SILO_MAIN_SUB	{存储已可以收集的提取材料}
UI_OPTIONS_LOOK_SEN_MOUSE_L	{查看灵敏度（鼠标）}
UI_OPTIONS_LOOK_SEN_PAD_L	{查看灵敏度（手柄）}
UI_OPTIONS_LOOK_SEN_JOYS_L	{查看灵敏度}
UI_OPTIONS_LOOK_SEN_PRO_L	{查看灵敏度}
UI_OPTIONS_FLIGHT_SEN_MOUSE_L	{飞行灵敏度（鼠标）}
UI_OPTIONS_FLIGHT_SEN_PAD_L	{飞行灵敏度（手柄）}
UI_OPTIONS_FLIGHT_SEN_JOYS_L	{飞行灵敏度}
UI_OPTIONS_FLIGHT_SEN_PRO_L	{飞行灵敏度}
UI_OPTIONS_CURSOR_SEN_MOUSE_L	{光标灵敏度（鼠标）}
UI_OPTIONS_CURSOR_SEN_PAD_L	{光标灵敏度（手柄）}
UI_OPTIONS_CURSOR_SEN_JOYS_L	{光标灵敏度}
UI_OPTIONS_CURSOR_SEN_PRO_L	{光标灵敏度}
UI_BASE_CACHE_NAME	{已拆解基地部件}
WEAPON_SCAN_DISCOVERY_MINERAL	{矿物群系分析奖励}
SHIP_DRIFT	{飞行协助减免}
HUD_HIGH_HEAT	{过热警告}
HUD_LOW_AMMO	{弹药不足}
VALUE_DESC_TECHFRAG	{价值<STAT>%TOTAL%纳米星团<>}
VALUE_DESC_SINGLE	{价值<STAT>%TOTAL%货币<>}
VALUE_DESC_TECHFRAG_SUB	{在专家技术商人处出售}
VALUE_DESC_SINGLE_SUB	{在交易终端处出售}
CUSTOMISE_ENGINE	{驱动器}
CUSTOMISE_ENGINE_L	{主驱动信号器}
UI_TIP_FR_ENGINE_RED	{护卫}
UI_TIP_FR_ENGINE_GREEN	{艾梅里尔}
UI_TIP_FR_ENGINE_PURPLE	{反物质}
UI_TIP_FR_ENGINE_TURQUOISE	{超深渊}
UI_TIP_FR_ENGINE_YELLOW	{黄金}
UI_TIP_FR_ENGINE_DEFAULT	{标准}
UI_TIP_FR_ENGINE_BLACKHOLE	{重力驱动}
UI_BUILD_MENU_TOGGLE_RELATIVES	{切换部件}
UI_RELATIVES_PAGE_HEADER	{兼容部件}
UI_RELATIVES_PAGE_SUB	{选择替换部件}
UI_FUEL_ASTEROID_LABEL	{富含氚的小行星}
UI_PIN_PROGRESS_REPAIR_MSG	{可以用<STELLAR>维修套件<>来代替任何组件
进度：<STELLAR>%CURRENT%/%AMOUNT%<>
详细信息参见日志（<IMG>OPTIONS<>）}
UI_REWARD_SHIP_INVENTORY_SLOTS	{<COMMODITY>飞船库存槽位<> x %NUM%}
UI_FRE_CUSTOM_REWARD_FORMAT	{<COMMODITY>%ITEM%货船自定义涂装<>}
UI_SHIPGUNS_REWARD_LABEL	{<TECHNOLOGY>飞船武器设计图<>}
QUICK_MENU_TIP_DISMISS_FRIEGHTE	{遣散货船}
UI_DAMAGED_FRIG_LABEL	{严重受损}
UI_TELEPORT_FRIGATE_MSG1	{护卫舰<STELLAR>%FRIG_NAME%<>严重受损
起飞并登上护卫舰以开始修复
<TECHNOLOGY>舰队管理终端<>亦可将你<TECHNOLOGY>传送<>至护卫舰}
UI_TELEPORT_FRIGATE_MSG2	{返回你的飞船并飞离护卫舰
或通过<TECHNOLOGY>护卫舰传送器<>曲速飞行到你的货船上。}
UI_TELEPORT_FRIGATE_LABEL	{护卫舰传送界标}
UI_TELEPORT_FRIGATE_RET_SUB	{返回货船}
UI_FRIGATE_CAPT_TERM_NAME	{通讯面板}
UI_FRIGATE_CAPT_TERM_SUB	{与船长对话}
UI_END_EXPEDITION_LABEL	{中止远征}
UI_END_EXPEDITION_RES	{召回已记录指令<IMG>SLASH<>正在返回主力舰}
UI_END_EXPEDITION_SUB	{召回舰队}
UI_RESET_FREIGHTER_COLOUR	{重置自定义颜色}
BASEBUILD_FRE_SNAP_INVALID	{必须连接现有的房间}
BASEBUILD_FRE_OUT_OF_BASE	{目标区域已超出建造许可范围}
BASEBUILD_FRE_COLLISION_ERROR	{当前位置已存在物件}
BASEBUILD_INSIDE_DEL_ERROR	{无法删除<IMG>SLASH<>玩家正在此模块中}
BASEBUILD_INSIDE_DEL_ERROR_ALT	{无法删除<IMG>SLASH<>%NAME%正在此模块中}
BASEBUILD_REPLACEMENT_ERROR	{当前无法替换部件}
BASEBUILD_CYCLE_PART_MSG	{新部件：%PART%}
UI_HUD_MARKER_ON_FREIGHTER	{ （位于主力舰）}
UI_HUD_MARKER_FREIGHTER_PHASED	{ （位于主力舰：相位阶段）}
UI_FREIGHTER_SYNC_TITLE	{货船网络同步}
UI_FREIGHTER_SYNC_MSG	{一次只能显示一个货船基地
解散你的货船来访问%OTHERPLAYER%的主力舰
通过<TECHNOLOGY>快捷菜单<>（<IMG>QUICK_MENU<>）解散货船}
UI_FREIGHTER_SYNC_MSG_ALT	{一次只能显示一个货船基地
当前已同步至%BLOCKINGPLAYER%的主力舰
通过<TECHNOLOGY>快捷菜单<>（<IMG>QUICK_MENU<>）解散货船}
PC_SETTINGS_ULTRA_PERFORMANCE	{超性能}
PC_GRAPHICS_FFXSR2QUALITY	{FSR 2.0画质}
PC_GRAPHICS_FFXSR2	{FidelityFX超分辨率2.0}
PC_GRAPHICS_FFXSR2QUALITY_D	{AMD FidelityFX™超分辨率2（FSR 2）是尖端的开放源码临时倍线解决方案，能提供高品质的图像和帧率优化。

<STELLAR>画质<>：1.5x倍线，提供比平衡模式更高的图像质量。

<STELLAR>平衡<>：1.7x倍线，同时提供优化的性能和图像质量。

<STELLAR>性能<>：2.0x倍线，提供比平衡模式更高的性能提升。

<STELLAR>超性能<>：3.0x倍线，提供最高的性能提升。}
UI_NO_UGC_UPLOAD_DISABLED	{已禁用上传/下载发现}
UI_NO_UGC_UPLOAD_DISABLED_SWITC	{已禁用上传/下载发现，按<IMG>DISNETRETRY<>了解详情}
UI_NO_UGC_FEATUREDBASES_DISABLE	{已禁用精选基地，按<IMG>DISNETRETRY<>了解详情}
UI_FREIGHTER_CARGO_NAME	{货船货舱}
UI_FREIGHTER_BUY	{购买货船}
UI_FREIGHTER_BUY_ERR	{无法承担货船费用}
UI_FREIGHTER_BUY_SUB	{替换现有主力舰}
UI_FREIGHTER_BUY_SUB_ALT	{成为货船指挥官}
UI_DEBRIEF_MARKER	{舰队远征汇报}
UI_PART_TARGETED	{目标部分：%PART%}
UI_MISSION_PROMPT_PRI_ACTIVATED	{<STELLAR>%NAME%<>：紧急新目标
按<IMG>OPTIONS<>重新选择先前的任务}
UI_MISSION_PROMPT_SEC_ACTIVATED	{新当前任务：<STELLAR>%NAME%<>
按<IMG>OPTIONS<>重新选择先前的任务}
UI_MISSION_PROMPT_PRI_SELECTED	{<STELLAR>%NAME%<>：目标已更新
按<IMG>OPTIONS<>选择其他任务}
UI_MISSION_PROMPT_SEC_SELECTED	{新当前任务：<STELLAR>%NAME%<>
按<IMG>OPTIONS<>选择其他任务}
UI_MISSION_PROMPT_PRI	{<STELLAR>%NAME%<>：目标已更新
按<IMG>OPTIONS<>查看当前任务}
UI_MISSION_PROMPT_SEC	{可进行的新任务：<STELLAR>%NAME%<>
按<IMG>OPTIONS<>更改当前任务}
GAMEMODE_CUSTOM	{自定义}
GAMEMODE_CUSTOM_SUBTITLE	{从轻松写意到永久死亡：彻底掌控自己的体验}
GAMEMODE_RELAXED	{闲适}
GAMEMODE_RELAXED_SUBTITLE	{流畅的体验：需要管理的系统和成本都有所减少}
UI_MODESELECT_EXPED_FORMAT	{远征%NUM%：%NAME%}
UI_MODESELECT_NO_EXPED_TITLE	{远征即将开启}
UI_MODESELECT_NO_EXPED_DESC	{暂时没有社区远征。欢迎随时再来查看。}
UI_RENAME_CURRENT_SAVE	{重命名存档（%NAME%）}
UI_NAME_CURRENT_SAVE	{重新命名当前存档}
UI_SAVE_SUMMARY_ON_FOOT	{登陆星球（%PLANET%）}
UI_SAVE_SUMMARY_PLANET_OUTPOST	{登陆星球（%PLANET%）}
UI_SAVE_SUMMARY_ON_SETTLEMENT	{%SETTLEMENT%的定居点}
UI_SAVE_SUMMARY_ON_BASE	{%BASE%内}
UI_SAVE_SUMMARY_ABAND_FREIGHTER	{登上荒废货船}
UI_SAVE_SUMMARY_IN_NEXUS	{登上太空异象}
UI_SAVE_SUMMARY_IN_FREIGHTER	{位于货船上（%FREIGHTER%）}
UI_SAVE_SUMMARY_IN_STATION	{登上%STATION%}
UI_SAVE_SUMMARY_IN_SHIP	{位于%SYSTEM%星系}
UI_PROMPT_RENAME_SAVE	{重命名存档数据}
UI_TECH_IN_WRONG_INV	{技术无效}
UI_TECH_IN_WRONG_INV_DESC	{该物品未安装在正确的库存类型。前往技术库存恢复功能。}
UI_TECH_PACK_UP	{存放技术}
UI_TECH_PACK_UP_DESC	{将技术转化为便于存储的可部署包}
UI_PACK_TECH_TIP	{<IMG>SELECT<>选择槽位打包技术以便储存}
UI_TECH_PACK_ERROR	{无法打包技术以便储存}
UI_SWITCH_REWARD_MSG	{<STELLAR>可领取特殊奖励<>
已赢得的奖励可在<TECHNOLOGY>水银合成同伴<>处领取}
UI_SWITCH_REWARD_TITLE	{可领取特殊奖励}
TRADE_BUY_SWITCH_SHOP	{领取特殊奖励}
TRADE_SWITCH_SUB	{领取特殊奖励}
UI_SPECIAL_SHOP_HELP_OPT	{如何获取水银？}
UI_SPECIAL_SHOP_HELP_RES	{你好，旅行者。保罗大师命令我在创造过程中协助你和所有的旅行者。使用水银将这些创造变为现实。

每天可以从中枢纽获得一个新水银任务，最多可累积3个任务。<SPECIAL>周末事件<>将提供<STELLAR>大量<>额外水银。

你的期望已被研究并输入到我的合成程序。请查看输出结果！}
UI_SPECIAL_SHOP_HELP_RES_ALT	{每天可以从中枢纽获得一个新水银任务，最多可累积3个任务。<SPECIAL>周末事件<>将提供<STELLAR>大量<>额外水银。}
UI_NETWORK_RATE_LABEL	{网络提取速度%RATE%}
UI_REPAIR_TECH_DESC	{<TECHNOLOGY>%TECH%<>状态：<FUEL>严重受损<>。修复所有子部件以恢复运作。

使用<TECHNOLOGY>%NUM%x%ITEM%<>修复该子部件。用<IMG>TECHMENU<>在你的任务日志中<STELLAR>标记<>详细的<STELLAR>修复指示<>，其中将包含寻找所需物品的相关位置信息。}
UI_REPAIR_TECH_SUB	{受损子部件}
UI_INSTALL_TECH_DESC	{<TECHNOLOGY>%TECH%<>子部件状态：<FUEL>已卸载<>。插入所有子部件以完成安装。

使用<TECHNOLOGY>%NUM%x%ITEM%<>完成该子部件。用<IMG>TECHMENU<>在你的任务日志中<STELLAR>标记<>详细的<STELLAR>安装说明<>，其中将包含寻找所需物品的相关位置信息。}
UI_INSTALL_TECH_NAME	{%TECH%部件}
UI_INSTALL_TECH_SUB	{所需子部件}
UI_REPAIRED_TECH_DESC	{<TECHNOLOGY>%TECH%<>子部件状态：<TRADEABLE>完全修复<>。复原额外子部件以完成修理。

