SCAN_NO_TECH	{未安装扫描技术<IMG>SLASH<>}
JUMP_NOFUEL	{脉冲驱动器不可用<IMG>SLASH<>燃料不足}
JUMP_BADPATH	{脉冲驱动器不可用<IMG>SLASH<>非安全轨道}
JUMP_ORBIT	{脉冲驱动器停止工作<IMG>SLASH<>进入亚轨道飞行}
JUMP_STATION_ENTRY	{脉冲驱动器停止工作<IMG>SLASH<>开始对接}
JUMP_ATLAS	{脉冲驱动器不可用<IMG>SLASH<>检测到阿特拉斯干扰}
WARN_HOSTILE	{警告 - 敌方飞船接近中}
WARN_HOSTILE2	{已发出本地求救信号}
SENTINELS_INCOMING1	{已惊动护卫无人机}
SENTINELS_INCOMING2	{警告 - 护卫增援出动}
SENTINELS_INCOMING3	{警告 - 护卫战斗单位出动}
SENTINELS_INCOMING4	{警告 - 侦测到护卫步行机}
SENTINELS_INCOMING5	{警告 - 精英护卫部队}
SENTINEL_POLICE_INCOMING	{警告 - 护卫拦截机接近中}
NEW_TECH	{发现新技术！}
WPN_NOAMMO	{武器充能已耗尽}
WPN_NOAMMO_ALT	{库存内无弹药}
WPN_NOTECH	{多用途工具中无启用的技术}
WPN_BROKEN	{%WEAPON%已严重受损}
WPN_SUPPRESSED	{多用途工具不可用}
TECH_DAMAGED	{%TECH%严重受损}
TECH_NEEDS_INSTALL	{%TECH%需要安装}
RELOAD	{重新装填}
OVERHEAT	{过热}
LEARNED_WORD	{你已学会%RACE%语中的“%WORD%”}
INTERACTION_COST	{需要消耗%COST%%RESOURCE%}
CHECK_STOCK	{购买多用途工具}
SHOP_TRADEFROMSUIT	{在星系网络中出售库存物品}
SHOP_DESC	{欢迎来到星系贸易网络}
SHOP_LANG	{正在访问阿特拉斯旅行者链接。
远程库存同步初始化完成。

随时准备接收用户请求......}
SHIP_OUT_OF_RANGE	{飞船距离过远}
SHIP_TELEPORT_RANGE	{物品传送已开启}
INDEFINITE	{未确定}
UNDISCOVERED	{未被发现}
ARRIVE_IN	{抵达倒数}
DISCOVERED_BY	{发现者：}
PLANET_NAME	{星球名称：}
DISTANCE	{距离：}
INFORMATION	{信息}
CONTROL_SETTINGS	{控制设置}
CONTROL_MODE	{控制模式：%MODE%}
CONTROL_NORMAL	{正常}
CONTROL_FLIGHT_INV	{飞行杆}
CONTROL_ALL_INV	{反向}
INTERACT	{互动}
INTERACT_PROMPT	{互动}
BEACON_RECORDS_AVAIL	{可记录......}
BEACON_RECORDS_NONE	{商人联系请求}
INTERACT_EMPTY	{空}
COMMON	{常见}
UNCOMMON	{罕见}
RARE	{稀有}
EXPLORER_PREFIX	{实体护甲}
STRUCTURE_OUTPOST	{前哨基站}
STRUCTURE_RUIN	{废墟}
CONSUMABLE	{消耗品}
REFINED	{精制}
ALLOY	{合金}
CONTRABAND	{违禁品}
UI_CREATURES	{生物}
HUD_JUMPING	{脉冲驱动器启动}
HUD_JUMP_ENGAGE	{正在启动脉冲驱动器}
HUD_SCANNING	{分析中......}
HUD_DISCOVERED_BY	{发现者：}
HUD_RELOAD	{重新装载......}
HUD_SHIELD	{护盾}
COMMODITY	{氧化物}
TECHNOLOGY	{硅酸盐}
FUEL	{同位素}
INTERACT_SHOOT	{摧毁}
TECH_REPAIRED	{%TECH%已修复}
WPN_CHANGE	{已选择%WEAPON%}
BINOC_NO_TECH	{未安装分析面甲}
BINOC_BROKEN	{分析面甲已严重损坏}
WEATHER_WARN	{天气预警：暴风雨即将来临}
WEATHER_WARN_LUSH	{气象警报：过热暴雨即将来袭}
WEATHER_WARN_HOT	{气象警报：检测到火风暴逼近}
WEATHER_WARN_COLD	{气象警报：检测到暴风雪逼近}
WEATHER_WARN_TOXIC	{气象警报：毒性暴雨即将来袭}
WEATHER_WARN_RADIO	{气象警报：放射性超级细胞逼近中}
WEATHER_OVER	{最新气象情况：风暴停止中}
SUBSTANCE	{物质}
PRODUCT	{产品}
DEATH_COLLECT	{重获失去的物品}
DEATH_MARKER	{坟墓}
METRES	{%DISTANCE%m}
HUD_UNDISCOVERED	{未被发现}
DISC_HUD_PLANET_TITLE	{%TYPE% - %PLANET%}
DISC_HUD_PLANET_SUBTITLE	{%INFO%星球 - %DISCOVERER%}
NOOXYGEN_L	{氧气}
EXTREMECOLD_L	{极寒}
EXTREMEHEAT_L	{酷热}
RADIATION_L	{辐射}
TOXICGAS_L	{毒雨}
SHIP_MARKER	{你的飞船}
SHIP_MARKER_L	{你的飞船}
DEATH_VOLUNTARY	{生活太过艰难}
STAT_MESSAGES_TITLE	{达成旅行里程碑}
DISC_HUD_MOON_SUBTITLE	{%INFO% 卫星 - %DISCOVERER%}
HUD_JUMP_FUEL	{剩余燃料}
NEW_PRODUCT	{已学会新的产品配方！}
LOCKED_DOOR	{上锁的门}
DISC_TYPE_MOON	{卫星}
DISC_TYPE_PLANET	{星球}
DISC_TYPE_SYSTEM	{系统}
DISC_HUD_SYSTEM_TITLE	{星系 - %SYSTEM%}
NEW_GALAXY	{已发现新星系}
NEW_PLANET	{已发现新星球}
NEW_SOLAR	{已发现新恒星系}
SOLAR_SYSTEM	{恒星系}
PLANET	{星球}
MOON	{卫星}
GALACTIC_CENTRE	{星系中心}
BLACK_HOLE	{黑洞}
ATLAS_STATION	{阿特拉斯界面}
ATLAS_STATION_DISC	{发现阿特拉斯界面}
BLACK_HOLE_DISC	{发现黑洞}
ANOMALY_DETECT	{侦测到异象}
SIGNAL_DISRUPT	{信号增强器受阻}
BLACK_HOLE_SUCCESS	{黑洞曲速飞行成功。航行距离：%DISTANCE%}
RELIC_GATE_SUCCESS	{远古曲速飞行通道成功。航行距离：%DISTANCE%}
VALUE_UNITS	{货币}
ENERGY	{能量}
BATTLE_MARKER	{求救信号}
BOUNTY_MARKER	{赏金 %AMOUNT%}
BATTLE_ALERT	{侦测到战斗}
BATTLE_GAL_BLOCK	{超光速推进中止 - 本地敌人干扰}
PATCH1_TITLE	{补丁说明}
PATCH1_NOTES	{1.03 更新
Hello Games 为了将《No Man’s Sky》做得更好，一直在不懈努力。

我们重新生成了宇宙。

注意：你在游戏中所处的位置也许会发生变化。你的总体进度将不受影响。

* 地形更加怪异多变。毁灭威力更强。
* LOD 生成完全异步。
* 现在可以从太空中扫描。
* 现在可能会遇到环境极端恶劣的星球。在这种星球上降落请格外小心。
* 现在可能会遇到大气稀薄的星球。
* 调整了太空战斗的频率和激烈程度。新增了飞船赏金。准备好对付赏金猎人吧。
* 精简了库存管理。
* 现在可选引导和自由模式。
* 加入了更多秘密。

我去睡了。}
NO_TARGET	{无目标}
BUILDING_ATLAS	{阿特拉斯界面}
BUILD_PROD	{制作产品}
BUILD_PROD_DESC	{创建可用的或具有价值的材料}
BUILD_TECH	{安装技术}
BUILD_TECH_DESC	{创建一项新技术以升级你的装备}
BUILD_WEAP_DESC	{创建多用途工具升级与强化}
BUILD_SHIP_DESC	{创建一项新技术以升级你的飞船}
TRANSFER	{传送物品}
TRANSFER_DESCSH	{将元素在库存间传送}
TRANSFER_DESC	{将套装库存中携带的元素瞬移至你的飞船}
TRANSFER_FAIL	{传送中止 - 飞船距离错误}
EMPTY_SLOT	{修改}
BLDBUT_TECH	{使用储存在套装库存中的元素建造技术}
BLDBUT_PROD	{使用储存在套装库存中的元素制作产品}
BLDBUT_NO	{资源不足，<STELLAR>标记<>以了解详情}
BUILD	{制作}
BUILD_TITLE	{制作}
CONSOLE_TITLE	{raljar@主站 ‘ $ 密码}
TRADE_SUIT	{用套装库存中的物品进行交易}
TRADE_SHIP	{出售你飞船上的货物和技术}
BUY_SHIP	{购买外星飞船}
SHOP_DECLINE	{拒绝购买}
CHARGE	{充能}
CHARGE_DESC	{使用%TYPE%为装备充能}
CHARGE_DESC_SHORT	{为装备充能}
SHIP_SUBTITLE	{使用<IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>管理飞船库存}
SUIT_TITLE	{装备}
SUIT_SUBTITLE	{使用<IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>管理套装库存}
WEAP_SUBTITLE	{安装技术配件并装满弹药夹}
SHIP_SUB_OLD	{安装技术并管理你飞船上的货物}
SUIT_SUB_OLD	{安装技术并管理你的套装库存}
WEAP_SUB_OLD	{安装技术配件并装满弹药夹}
DISCOVERY_SUBTITLE	{旅行者有关遭遇外星生物的记录}
DISCOVERY_TITLE	{阿特拉斯探索网络}
OFFERING	{提供馈赠}
COMPARE	{对比}
DLG_OFFER_ACCEPT	{陌生人似乎喜欢你的馈赠。}
DLG_OFFER_REJECT	{没有打动陌生人。}
OFFER	{提供}
OFFER_DESC	{挑选馈赠给陌生人的物品}
REQUIREMENTS	{必需品}
BUILD_MORE	{制作更多可利用的物品}
DISMANTLE	{拆卸}
DISMANTLE_DESC	{拆卸以提高容量并获取资源}
DISCARD	{丢弃}
DISCARD_DESC	{销毁不必要的资源}
DISC_RENAME	{重新命名}
DISC_RENAME_DESC	{为你的发现命名}
DISC_RENAMEUPLOAD	{重新命名并上传}
DISC_VIEW	{查看}
DISC_VIEW_DESC	{查看所有在此星球上收集的信息}
DISC_SET_WAYPNT	{设置航路点}
DISC_SET_WAYPNT_DESC	{在你的星系地图上设置航路点}
DISC_DETAILS	{探索详情}
DISC_UPLOAD	{上传}
DISC_UPLOAD_DESC	{上传发现以获得 %REWARD% 货币}
DISC_UPLOAD_DESC_NANITES	{上传发现以获得 %REWARD% 个纳米星团}
DISC_UPLOADED	{发现已上传}
DISC_UPLOADED_CREDIT	{发现已上传。已获得 %REWARD% 货币。}
DISC_UPLOADED_CREDIT_NANITES	{发现已上传。已获得 %REWARD% 个纳米星团。}
DISC_HEIGHT	{高度}
DISC_WEIGHT	{重量}
DISC_SOLARSYSTEM	{太阳系}
DISC_ON	{发现于}
DISC_MADE_ON	{发现于 %DATE%}
DISC_PLANET_TITLE	{恒星系}
DISC_INFO_TITLE	{记录}
DISC_DISCOVERIES_TITLE	{发现物}
DISC_LOG_TITLE	{恒星日志}
DISC_DAY_TITLE	{第 %DAY% 日}
DISC_NO_LOCAL_PLANET	{本地附近无星球}
DISC_DISC_BY	{发现者：%USER%}
DISC_WAYPOINT_TITLE	{发现的航路点}
DISC_SYSTEM_LABEL	{星系 - %SYSTEM%}
DISC_PLANET_LABEL	{星球 - %PLANET%}
PLANET_DIST_STAT	{距星系中心距离}
PLANET_DISC_ON_STAT	{首次发现}
PLANET_DISC_BY_STAT	{发现者}
PLANET_BIOME_STAT	{生物群系}
BIO_UNKNOWN	{未知的}
BIO_LUSH	{繁茂的}
BIO_TOXIC	{有毒的}
BIO_SCORCHED	{炽热的}
BIO_RADIOACTIVE	{放射性的}
BIO_FROZEN	{冻结的}
BIO_BARREN	{荒芜的}
SUBSTANCE_MINERAL	{氧化物}
SUBSTANCE_SILICATE	{硅酸盐}
SUBSTANCE_ENERGY	{同位素}
SUBSTANCE_STEEL	{强化的}
LASER	{激光}
PROJECTILE	{抛射}
GRENADE	{手榴弹}
SCAN	{扫描}
UI_SCAN_L	{扫描}
WEAPONS	{武器}
UI_WEAPONS_L	{武器}
ARMOUR	{生命值}
UI_ARMOUR_L	{生命值}
HYPERDRIVEX	{超光速推进}
UI_HYPERDRIVE_L	{超光速推进}
SUIT	{套装}
WEAPON	{多用途工具}
SHIP	{飞船}
DISCOVERIES	{发现物}
OPTIONS	{选项}
RETURN	{返回}
PROTECTION	{保护}
STAMINA	{体力}
UTILITIES	{效用}
GLXY_REGION	{区域}
GLXY_PLANET_COUNT	{%i 星球}
GLXY_PLANET_COUNT_PL	{%i 星球}
GLXY_IN_ORBIT	{在轨}
GLXY_SPECTRAL	{光谱}
GLXY_DIST_LIGHTYE	{%DISTANCE% 光年}
GLXY_LINEAR_DIST	{直线距离}
GLXY_REQ_FUEL	{需要燃料}
GLXY_CANT_WARP	{无法曲速飞行}
GLXY_ERR_FUEL	{超光速推进无可用燃料}
GLXY_ERR_NO_WARP	{未安装超光速推进}
GLXY_ERR_AT_LOC	{当前位置}
GLXY_VALID_JUMP	{曲速计算确认}
GLXY_VALID_JUMP_DESC	{按下以接受}
GLXY_ERR_DEFAULT	{曲速计算}
GLXY_ERR_DEFAULT_DESC	{未知错误}
GLXY_DESC_DISCOV	{发现者：%USER%}
GLXY_DESC_NO_REC	{记录未找到}
GLXY_DESC_UNDIS	{未被发现}
GLXY_DESC_ERR_TITLE	{探索状态未知}
GLXY_DESC_ERR_DESC	{网络连接不可用}
YELLOW	{黄色}
GREEN	{绿色}
BLUE	{蓝色}
RED	{红色}
TRADE_COST_PER	{单价：%COST%（星系均价：%VARIANCE%）}
TRADE_SELL_TO	{向贸易网络出售物品}
TRADE_SELL_FOR	{卖%AMOUNT%个赚得%PRICE%货币}
REPAIR	{修复}
REPAIR_TITLE	{修复}
REPAIR_DESC	{修复该技术}
HEALTH	{生命值}
UNITS	{获得货币}
STANDING	{增加声望}
HAZARD	{保护}
BLUEPRINT	{获得设计图}
NEXT_PAGE	{下一页}
PREV_PAGE	{上一页}
TRADE_BUY	{从银河交易网络购买物品}
TRADE_SELL	{从你的库存中出售物品}
TRADE_SUIT_INVENTORY	{套装库存}
TRADE_SHIP_INVENTORY	{飞船库存}
TRADE_FREIGHT_INVENTORY	{货船库存}
TRADE_BUY_FOR	{花费 %PRICE% 货币购买 %AMOUNT% 个}
TRADE_BUY FROM	{从贸易网络购买物品}
BIO_DAMAGE_TOXIC	{毒雨}
BIO_DAMAGE_SCORCHED	{酷热}
BIO_DAMAGE_RADIOACTIVE	{辐射}
BIO_DAMAGE_FROZEN	{极寒}
SUBSTANCE_MINERAL_U	{氧化物}
SUBSTANCE_SILICATE_U	{硅酸盐}
SUBSTANCE_ENERGY_U	{同位素}
CHARGE_TITLE	{充能}
CHARGE_SUBTITLE	{收集%SUBSTANCE%为你的%TECH%充能}
OPEN_INVENTORY_PROMPT	{按 <IMG>INVENTORY<> 打开库存}
AMOUNT_OF_MAX	{%AMOUNT% / %MAX%}
INVENTORY	{%TYPE%库存}
PRODUCTS_ALL	{所有产品}
TECH_ALL	{所有技术}
SUBSTANCE_MINERAL_INTRCT	{<COMMODITY>氧化物<>}
SUBSTANCE_SILICATE_INTRCT	{<TECHNOLOGY>硅酸盐<>}
SUBSTANCE_ENERGY_INTRCT	{<FUEL>同位素<>}
PRODUCT_REQ	{在库存槽位里制作产品}
SUBSTANCE_REQ	{收集元素}
PRODUCT_REQ_TITLE	{配件需求}
OPTIONS_R1	{近战 <IMG>MELEE<>}
OPTIONS_R2	{发射 <IMG>ATTACK<>}
OPTIONS_R3	{缩放分析面甲 <IMG>ZOOM<>}
OPTIONS_L1	{<IMG>ALTATTACK<> 发射榴弹}
OPTIONS_L2	{<IMG>AIM<> 分析面甲}
OPTIONS_L3	{<IMG>RUN<> 冲刺}
OPTIONS_OPTIONS	{<IMG>INVENTORY<> 打开库存}
OPTIONS_TOUCHPAD	{<IMG>INVENTORY<> 银河星图}
OPTIONS_SQUARE	{互动 <IMG>INTERACT<>}
OPTIONS_CIRCLE	{扫描 <IMG>SCAN<>}
OPTIONS_X	{激活喷气背包 <IMG>JUMP<>}
OPTIONS_CYCLEWEAPON	{切换多用途工具模式<IMG>CYCLEWEAPON<>}
OPTIONS_LEFTSTICK	{<IMG>MOVE<> 移动}
OPTIONS_RIGHTSTICK	{观察 <IMG>LOOK<>}
NAMEGEN_SUFFIX_REGION_1	{%NAME%附属区}
NAMEGEN_SUFFIX_REGION_2	{%NAME%虚空}
NAMEGEN_SUFFIX_REGION_3	{%NAME%星海}
NAMEGEN_SUFFIX_REGION_4	{%NAME%界标}
NAMEGEN_SUFFIX_REGION_5	{%NAME%边界}
NAMEGEN_SUFFIX_REGION_6	{%NAME%边缘}
NAMEGEN_SUFFIX_REGION_7	{%NAME%星团}
NAMEGEN_SUFFIX_REGION_8	{%NAME%星群}
NAMEGEN_SUFFIX_REGION_9	{%NAME%星带}
NAMEGEN_ADORN_1	{%NAME%主星}
NAMEGEN_ADORN_2	{%NAME%大行星}
NAMEGEN_ADORN_3	{%NAME%小行星}
NAMEGEN_ADORN_4	{新%NAME%}
GLXY_ANALYSIS_RESULT	{分析}
GLXY_PUSH_NAV	{<IMG>GALAXYMOVE<> 旋转 <GAP><IMG>LOOK<> 选择}
GLXY_DESELECT	{<IMG>DESELECT<> 取消选择}
GLXY_ROUTE_CORE	{通往星系核心的路线}
GLXY_ROUTE_WAYPOINT	{通往航路点的路线}
GLXY_ROUTE_FREE	{自由探索模式}
GLXY_ANALYSIS_PLANETS	{%i 星球}
GLXY_ANALYSIS_PLANETS_PL	{%i 星球}
GLXY_ANALYSIS_BLACKHOLE	{警告：侦测到黑洞}
GLXY_ANALYSIS_ATLAS	{侦测到异常能量信号}
GLXY_ANALYSIS_SPECTRAL	{%PROCSPEC% 级}
GLXY_SELECT	{<IMG>SELECT<> 选择 <GAP><IMG>GALAXYHOME<> 位置 <GAP><IMG>DESELECT<> 退出地图}
GLXY_LOOK	{<IMG>GALAXYMOVE<> 飞行 <GAP><IMG>ACCELERATE<> 加速 <GAP><IMG>LOOK<> 观察}
GLXY_DISCOVERY_TITLE	{发现者为}
GLXY_DISCOVERY_DATA	{%USERNAME%，日期为 %DATE%}
GLXY_SET_WAYPOINT	{设置航路点}
GLXY_CLEAR_WAYPOINT	{清除航路点}
GLXY_DISTANCE_LY	{%DISTANCE% 光年}
MOON_DESC	{%PLANET%的卫星}
CONTAINER_LABEL	{集装箱}
CONTAINER_LABEL_SUB	{强化的}
ASTEROID_LABEL	{小行星}
ASTEROID_LABEL_SUB	{元素}
NPC_TRADER_BUY_SHIP	{对生命体的飞船出价}
NPC_TRADER_SELL_ITEMS	{向生命体出售物品}
NPC_TRADER_BUY_ITEMS	{购买生命体的物品}
TURRET_LABEL	{防御炮台}
TURRET_LABEL_SUB	{强化的}
SUBSTANCE_TRADE_U	{中性}
SUBSTANCE_TRADE	{中性}
SUBSTANCE_TRADE_INTRCT	{<TRADE>中性<>}
SUIT_BOOT_MSG	{开始初始化？}
GLXY_DESELECT_OR_WARP	{<IMG>SELECT<> 曲速飞行 <GAP><IMG>DESELECT<> 取消选择}
GLXY_WAYPOINT_TITLE	{导航系统}
GLXY_WAYPOINT_ADD	{添加航路点}
GLXY_WAYPOINT_CLEAR	{移除航路点}
GLXY_WAYPOINT_CLEAR_ALL	{移除所有航路点}
GLXY_WAYPOINT_TOOMANY	{航路点数量已达上限}
MINERAL_SUFFIX	{矿}
BUY	{购买}
TRADE_BUY_PRICE	{花费 <COMMODITY>%PRICE%<> 货币购买 %AMOUNT% 个}
TRADE_SELL_PRICE	{卖 %AMOUNT% 个赚取 <COMMODITY>%PRICE%<> 货币}
TRADE_INV_FULL	{已满}
TRADE_INV_EMPTY	{库存为空}
PLAYER_MONEY_TITLE	{货币}
PRESENCE_DOCKED	{停靠于%PLACE_NAME%}
PRESENCE_EXPLORE	{正在探索%PLACE_NAME%}
PRESENCE_SPACE	{正在穿越%SYSTEM_NAME%}
DISC_REPORT_DESC	{报告此发现的名字过激或不当}
DISC_REPORT	{举报}
DISC_HIDE_DESC	{隐藏此次发现}
DISC_HIDE	{隐藏}
GAME_OPTIONS	{游戏选项}
VOLUNTARY_DEATH_OPTION	{恢复最近一次存档}
DISC_OWNER_HIDDEN_TIME	{发现于 %DATETIME%}
DISC_OWNER_HIDDEN	{已发现}
DISC_OWNER_NORMAL	{由%USERNAME%发现}
DISC_OWNER_NORMAL_TIME	{由%USERNAME%于%DATETIME%发现}
DISC_OWNER_NONE	{未被发现}
DISC_OWNER_IS_PLAYER	{已被你发现}
DISC_OWNER_IS_PLAYER_TIME	{你于 %DATETIME% 发现}
DISC_OWNER_PLAYER_CM	{你}
DISC_OWNER_PLAYER_CM_TIME	{你，于 %DATETIME%}
NET_OFFLINE	{你已断开在线发现服务，按下<IMG>DISNETRETRY<>重新连接}
NET_IN_PROGRESS	{正在连接至在线发现服务}
NET_ONLINE	{在线发现服务已启用}
NET_UNAVAILABLE	{你已断开在线发现服务}
NET_TITLE	{网络警告}
GLXY_ANALYSIS_MOON	{%i 卫星}
GLXY_ANALYSIS_MOON_PL	{%i 卫星}
GLXY_ANALYSIS_CENTER	{???????}
GLXY_CENTER_NAME	{星系中心}
GLXY_CENTER_REGION	{未知}
CANT_SAVE_WANTED	{你无法保存}
PIRATE_PROBE	{侦测到敌方子空间扫描}
PIRATE_PROBE_SUCCESS	{敌方子空间扫描发现了珍贵的货物}
PIRATE_PROBE_FAIL	{敌方子空间扫描失败}
PIRATES_BATTLE_JOINED	{正在和攻击飞船交战}
TRANSFER_DESC_TRADE	{在库存间传送元素}
NET_ATTEMPTING	{正在尝试连接......}
NET_ATTEMPT_FAIL	{无法连接}
TRADE_EMPTY	{空}
NEW_SUIT_SLOT	{安装新套装槽位}
JOURNEY_TITLE	{旅行里程碑}
JOUR_TOT_TITLE	{达成旅行里程碑总数：}
JOUT_NXT_MILESTONE	{下一个里程碑的进度：%CURRENT% / %NEXT%}
PIN_RECIP	{固定}
PIN_RECIP_DESC	{固定配方}
PRODUCT_REQUIRED	{需要 %PRODUCT%}
GLXY_CENTER_DIST	{至中心距离}
UNPIN_RECIP	{取消固定配方}
OPT_TOUCH_TXT	{<IMG>INVENTORY<> 库存}
OPT_L2_TXT	{<IMG>AIM<> 视觉增强器}
OPT_L1_TXT	{<IMG>ALTATTACK<> 发射榴弹}
OPT_DDOWN_TXT	{<IMG>QUICK_MENU<> 银河星图}
OPT_L3_TXT	{<IMG>SHOWHUD<> 显示平视显示器}
OPT_LS_TXT	{<IMG>MOVE<> 移动}
OPT_OPTIONS_TXT	{发现物/选项 <IMG>OPTIONS<>}
OPT_R2_TXT	{发射 <IMG>ATTACK<>}
OPT_R1_TXT	{近战 <IMG>MELEE<>}
OPT_TRIANGLE_TXT	{切换武器模式 <IMG>CYCLEWEAPON<>}
OPT_CIRCLE_TXT	{扫描 <IMG>SCAN<>}
OPT_CROSS_TXT	{激活喷气背包 <IMG>JUMP<>}
OPT_SQUARE_TXT	{互动 <IMG>INTERACT<>}
OPT_R3_TXT	{冲刺 <IMG>RUN<>}
OPT_RS_TXT	{观察 <IMG>LOOK<>}
TELEPORT	{传送物品}
GLXY_TUT_INVALID_JUMP	{异常信号阻挡曲速飞行}
SENTINELS_ARRIVED	{护卫已到达}
SENTINELS_EVADED	{护卫武装已解除}
SENTINEL_POLICE_ALERTED	{护卫飞船来袭}
SENTINEL_POLICE_ARRIVING	{护卫飞船进入武器射程}
CURIOSITY	{稀有物}
COMPONENT	{部件}
DEVICE	{设备}
GENERIC_ITEM	{物品}
GENERIC_OBJECT	{物件}
SUBSTANCE_SPECIAL_U	{异星}
SUBSTANCE_SPECIAL	{异星}
SUBSTANCE_SPECIAL_INTRCT	{<SPECIAL>异星<>}
DISC_UPLOAD_AMOUNT	{%AMOUNT% 货币 %CLASS% 发现已上传}
WARN_TECH_DAMAGED	{此技术已严重受损}
TELEPORT_VERB	{传送}
OPTS_REVERT_TO_CURRENT	{重新载入当前[%TIMESTAMP%]}
OPTS_NO_CURRENT_SAVE	{当前：无数据}
OPTS_REVERT_TO_PREV	{重新载入先前[%TIMESTAMP%]}
OPTS_NO_PREVIOUS_SAVE	{先前：无数据}
OPTS_SAVEGAMES	{游戏存档数据}
OPTS_PHOTOMODE_ON	{移除平视显示器：开}
OPTS_PHOTOMODE_OFF	{移除平视显示器：关}
PROC_FLAVOUR_MONOLITH_1	{%PROCNAME%的灰烬}
PROC_FLAVOUR_MONOLITH_2	{%PROCNAME%的遗址}
PROC_FLAVOUR_MONOLITH_3	{%PROCNAME%地标}
PROC_FLAVOUR_MONOLITH_4	{%PROCNAME%的回忆}
PROC_FLAVOUR_MONOLITH_5	{%PROCNAME%的残余}
PROC_FLAVOUR_MONOLITH_6	{%PROCNAME%碎片}
PROC_FLAVOUR_MONOLITH_7	{%PROCNAME%的废墟}
PROC_FLAVOUR_MONOLITH_8	{%PROCNAME%贡品}
PROC_FLAVOUR_TERMINAL_1	{%SERIALNUM%终端}
PROC_FLAVOUR_TERMINAL_2	{%SERIALNUM%地点}
PROC_FLAVOUR_TERMINAL_3	{%SERIALNUM%前哨基站}
PROC_FLAVOUR_TERMINAL_4	{%SERIALNUM%界面}
PROC_FLAVOUR_OBS_1	{%PROCNAME%反射器}
PROC_FLAVOUR_OBS_2	{%PROCNAME%基站}
PROC_FLAVOUR_OBS_3	{%PROCNAME%哨塔}
PROC_FLAVOUR_RADIO_1	{%PROCNAME%高塔}
PROC_FLAVOUR_RADIO_2	{%PROCNAME%中继器}
PROC_FLAVOUR_RADIO_3	{%PROCNAME%天线}
PROC_FLAVOUR_FACTORY_1	{%PROCNAME%仓库}
PROC_FLAVOUR_FACTORY_2	{%PROCNAME%议会}
PROC_FLAVOUR_FACTORY_3	{%PROCNAME%工坊}
PROC_FLAVOUR_ATLAS_1	{%PROCNAME%枢纽}
PROC_FLAVOUR_ATLAS_2	{%PROCNAME%集会}
PROC_FLAVOUR_ABANDON	{弃守}
WPN_NAME_FORMAT_1	{%PROCNAME%%NOUN%}
WPN_NAME_FORMAT_2	{%PROCNAME% %VERSION%}
WPN_NAME_FORMAT_3	{%SERIALNUM%实验}
WPN_NAME_FORMAT_4	{%PROCNAME%标记 %NUMERAL%}
WPN_NAME_FORMAT_5	{%ADJECTIVE%%PROCNAME%}
WPN_NAME_FORMAT_6	{%SERIALNUM%%ADJECTIVE%%NOUN%}
